geometry,target,edges,coeff,fci,energy
"[[0.         0.         0.        ]
 [0.         0.         0.56806807]
 [0.         0.         1.13613614]
 [0.         0.         1.7042042 ]]",[-0.09912927 -0.09913018],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72141912 -0.64964476 -0.16050723  0.17819533]
 [ 0.64965342  0.72142662  0.17816498  0.16047215]
 [ 0.17823385 -0.16046446  0.64963495 -0.72142795]
 [-0.16042937 -0.1782035   0.72143544  0.64964362]]",-1.8846971051036068,-1.8729649461489244
"[[0.         0.         0.        ]
 [0.         0.         0.57007007]
 [0.         0.         1.14014014]
 [0.         0.         1.71021021]]",[-0.10472453 -0.10472455],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72308326 -0.66157471 -0.13410783  0.14657623]
 [ 0.66157471  0.72308326  0.14657623  0.13410783]
 [ 0.14657623 -0.13410783  0.66157471 -0.72308326]
 [-0.13410783 -0.14657623  0.72308326  0.66157471]]",-1.8899596553439926,-1.8639481004646
"[[0.         0.         0.        ]
 [0.         0.         0.57207207]
 [0.         0.         1.14414414]
 [0.         0.         1.71621622]]",[-0.10039417 -0.10042319],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72116545 -0.65010734 -0.16018646  0.17782336]
 [ 0.65012443  0.72118096  0.17776039  0.16011713]
 [ 0.17769409 -0.16032984  0.65014202 -0.72113418]
 [-0.16026052 -0.17763112  0.7211497   0.6501591 ]]",-1.8951472001613423,-1.8833710557928014
"[[0.         0.         0.        ]
 [0.         0.         0.57407407]
 [0.         0.         1.14814815]
 [0.         0.         1.72222222]]",[-0.10586791 -0.10586791],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72282019 -0.66186212 -0.13416609  0.14652291]
 [ 0.66186212  0.72282019  0.14652291  0.13416609]
 [ 0.14652291 -0.13416609  0.66186212 -0.72282019]
 [-0.13416609 -0.14652291  0.72282019  0.66186212]]",-1.9002596204177635,-1.8747343838315838
"[[0.         0.         0.        ]
 [0.         0.         0.57607608]
 [0.         0.         1.15215215]
 [0.         0.         1.72822823]]",[-0.10586791 -0.10586791],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72268921 -0.66200514 -0.13419509  0.14649636]
 [ 0.66200514  0.72268921  0.14649636  0.13419509]
 [ 0.14649636 -0.13419509  0.66200514 -0.72268921]
 [-0.13419509 -0.14649636  0.72268921  0.66200514]]",-1.9052946770672294,-1.879999749181277
"[[0.         0.         0.        ]
 [0.         0.         0.57807808]
 [0.         0.         1.15615616]
 [0.         0.         1.73423423]]",[-0.10219092 -0.1021615 ],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72074713 -0.65088991 -0.15989187  0.17691946]
 [ 0.65087361  0.72073229  0.17697982  0.15995824]
 [ 0.17705303 -0.15974396  0.65085429 -0.72077929]
 [-0.15981034 -0.17711338  0.72076447  0.65083798]]",-1.9102622189584673,-1.8984212140710988
"[[0.         0.         0.        ]
 [0.         0.         0.58008008]
 [0.         0.         1.16016016]
 [0.         0.         1.74024024]]",[-0.10759835 -0.10759836],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.7224271  -0.66229116 -0.13425306  0.14644322]
 [ 0.66229116  0.7224271   0.14644322  0.13425306]
 [ 0.14644322 -0.13425306  0.66229116 -0.7224271 ]
 [-0.13425306 -0.14644322  0.7224271   0.66229116]]",-1.9151595855726304,-1.8903259915070167
"[[0.         0.         0.        ]
 [0.         0.         0.58208208]
 [0.         0.         1.16416416]
 [0.         0.         1.74624625]]",[-0.10335073 -0.10338053],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72049852 -0.65131995 -0.15956178  0.17664722]
 [ 0.65133585  0.72051298  0.17658821  0.15949692]
 [ 0.17650896 -0.15971472  0.65135669 -0.72046531]
 [-0.15964986 -0.17644994  0.72047977  0.65137258]]",-1.9199866911794086,-1.9081020777837758
"[[0.         0.         0.        ]
 [0.         0.         0.58408408]
 [0.         0.         1.16816817]
 [0.         0.         1.75225225]]",[-0.10876092 -0.10876091],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72216569 -0.66257619 -0.13431084  0.14639023]
 [ 0.66257619  0.72216569  0.14639023  0.13431084]
 [ 0.14639023 -0.13431084  0.66257619 -0.72216569]
 [-0.13431084 -0.14639023  0.72216569  0.66257619]]",-1.9247437957549387,-1.9003545458070337
"[[0.         0.         0.        ]
 [0.         0.         0.58608609]
 [0.         0.         1.17217217]
 [0.         0.         1.75825826]]",[-0.10876092 -0.10876091],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72203555 -0.66271801 -0.13433959  0.14636385]
 [ 0.66271801  0.72203555  0.14636385  0.13433959]
 [ 0.14636385 -0.13433959  0.66271801 -0.72203555]
 [-0.13433959 -0.14636385  0.72203555  0.66271801]]",-1.929427781186865,-1.9052486845236023
"[[0.         0.         0.        ]
 [0.         0.         0.58808809]
 [0.         0.         1.17617618]
 [0.         0.         1.76426426]]",[-0.10518035 -0.10514654],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72008112 -0.65209565 -0.15928685  0.17573317]
 [ 0.65207852  0.72006505  0.17579896  0.15935703]
 [ 0.17589249 -0.15911092  0.65205426 -0.72011859]
 [-0.1591811  -0.17595827  0.72010254  0.65203712]]",-1.9340491192434346,-1.9221002609455775
"[[0.         0.         0.        ]
 [0.         0.         0.59009009]
 [0.         0.         1.18018018]
 [0.         0.         1.77027027]]",[-0.11052009 -0.1105201 ],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72177524 -0.66300151 -0.13439706  0.14631108]
 [ 0.66300151  0.72177524  0.14631108  0.13439706]
 [ 0.14631108 -0.13439706  0.66300151 -0.72177524]
 [-0.13439706 -0.14631108  0.72177524  0.66300151]]",-1.938604300010831,-1.914846556309678
"[[0.         0.         0.        ]
 [0.         0.         0.59209209]
 [0.         0.         1.18418418]
 [0.         0.         1.77627628]]",[-0.10635544 -0.10639067],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.71984056 -0.65251079 -0.15892926  0.17550134]
 [ 0.65252778  0.7198565   0.17543588  0.15885957]
 [ 0.17533015 -0.15911811  0.65255514 -0.71980036]
 [-0.15904842 -0.17526469  0.71981632  0.65257211]]",-1.9430936156710512,-1.9311015535063687
"[[0.         0.         0.        ]
 [0.         0.         0.59409409]
 [0.         0.         1.18818819]
 [0.         0.         1.78228228]]",[-0.11170175 -0.11170173],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72151572 -0.66328392 -0.13445431  0.14625848]
 [ 0.66328392  0.72151572  0.14625848  0.13445431]
 [ 0.14625848 -0.13445431  0.66328392 -0.72151572]
 [-0.13445431 -0.14625848  0.72151572  0.66328392]]",-1.9475176799265048,-1.9241655735373413
"[[0.         0.         0.        ]
 [0.         0.         0.5960961 ]
 [0.         0.         1.19219219]
 [0.         0.         1.78828829]]",[-0.11170175 -0.11170173],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72138655 -0.66342441 -0.13448279  0.14623229]
 [ 0.66342441  0.72138655  0.14623229  0.13448279]
 [ 0.14623229 -0.13448279  0.66342441 -0.72138655]
 [-0.13448279 -0.14623229  0.72138655  0.66342441]]",-1.951872562767556,-1.9287120247165037
"[[0.         0.         0.        ]
 [0.         0.         0.5980981 ]
 [0.         0.         1.1961962 ]
 [0.         0.         1.79429429]]",[-0.10822083 -0.10818134],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.71942115 -0.65328486 -0.15869208  0.17455353]
 [ 0.65326755  0.71940481  0.17462076  0.15876338]
 [ 0.17475471 -0.15847051  0.65323308 -0.71946816]
 [-0.15854182 -0.17482194  0.71945185  0.65321575]]",-1.956169308949359,-1.944113627605989
"[[0.        0.        0.       ]
 [0.        0.        0.6001001]
 [0.        0.        1.2002002]
 [0.        0.        1.8003003]]",[-0.11348953 -0.11348953],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.72112827 -0.66370514 -0.13453969  0.14617994]
 [ 0.66370514  0.72112827  0.14617994  0.13453969]
 [ 0.14617994 -0.13453969  0.66370514 -0.72112827]
 [-0.13453969 -0.14617994  0.72112827  0.66370514]]",-1.9604036241962706,-1.9376275649725716
"[[0.         0.         0.        ]
 [0.         0.         0.6021021 ]
 [0.         0.         1.2042042 ]
 [0.         0.         1.80630631]]",[-0.1094085  -0.10945313],"[[(0, 1), (2, 3)], [(0, 3), (1, 2)], [(0, 2), (1, 3)]]","[[ 0.71919555 -0.65367838 -0.15827941  0.17438454]
 [ 0.65369669  0.71921285  0.17431308  0.15820387]
 [ 0.17414751 -0.15854017  0.65373906 -0.71914039]
 [-0.15846464 -0.17407604  0.71915772  0.65375735]]",-1.9645761531082795,-1.952477678710089
